Period,Year on Year,Month over Month
Monthly,,
Feb 2023,0.315000,0.043000
Jan 2023,0.276000,0.029000
Dec 2022,0.245000,0.005000
Nov 2022,0.238000,0.008000
Oct 2022,0.266000,0.047000
Sep 2022,0.232000,-0.012000
Aug 2022,0.273000,0.024000
Jul 2022,0.249000,0.043000
Jun 2022,0.213000,0.063000
May 2022,0.138000,0.004000
Apr 2022,0.134000,0.016000
Mar 2022,0.127000,0.008000
Feb 2022,0.122000,0.012000
Jan 2022,0.130000,0.004000
Dec 2021,0.123000,-0.000200
Nov 2021,0.115000,0.030000
Oct 2021,0.092000,0.019000
Sep 2021,0.090000,0.021000
Aug 2021,0.084000,0.006000
Jul 2021,0.084000,0.013000
Jun 2021,0.097000,-0.002000
May 2021,0.109000,0.001000
Apr 2021,0.111000,0.010000
Mar 2021,0.091000,0.004000
Feb 2021,0.087000,0.018000
Jan 2021,0.057000,-0.002000
Dec 2020,0.080000,-0.007000
Nov 2020,0.083000,0.008000
Oct 2020,0.089000,0.017000
Sep 2020,0.090000,0.015000
Aug 2020,0.082000,0.006000
Jul 2020,0.093000,0.025000
Jun 2020,0.086000,0.008000
May 2020,0.082000,0.003000
Apr 2020,0.085000,-0.008000
Mar 2020,0.102000,0
Feb 2020,0.124000,-0.010000
Jan 2020,0.146000,-0.002000
Dec 2019,0.126000,-0.003000
Nov 2019,0.127000,0.013000
Oct 2019,0.110000,0.018000
